epoch,deepsupervision_categorical_accuracy,deepsupervision_iou_0,deepsupervision_iou_1,deepsupervision_loss,deepsupervision_precision_0,deepsupervision_precision_1,deepsupervision_recall_0,deepsupervision_recall_1,loss,lr,output_categorical_accuracy,output_iou_0,output_iou_1,output_loss,output_precision_0,output_precision_1,output_recall_0,output_recall_1,val_deepsupervision_categorical_accuracy,val_deepsupervision_iou_0,val_deepsupervision_iou_1,val_deepsupervision_loss,val_deepsupervision_precision_0,val_deepsupervision_precision_1,val_deepsupervision_recall_0,val_deepsupervision_recall_1,val_loss,val_output_categorical_accuracy,val_output_iou_0,val_output_iou_1,val_output_loss,val_output_precision_0,val_output_precision_1,val_output_recall_0,val_output_recall_1
0,0.9350477457046509,0.8710166215896606,0.355651319026947,0.07070554792881012,0.9751525521278381,0.7627531290054321,0.9471378922462463,0.8639779090881348,0.1820756494998932,0.0004996398,0.9309208393096924,0.8675259351730347,0.38754671812057495,0.11136994510889053,0.9743595719337463,0.7475475668907166,0.9428023099899292,0.8610210418701172,0.9713842868804932,0.9578040838241577,0.6541889905929565,0.023350141942501068,0.981686532497406,0.9021250009536743,0.9853865504264832,0.8799127340316772,0.047977469861507416,0.9700929522514343,0.9544534087181091,0.6936900019645691,0.024627309292554855,0.9698101878166199,0.9724084138870239,0.9965367913246155,0.7973439693450928
1,0.9707387685775757,0.9169870018959045,0.5685460567474365,0.023337246850132942,0.9808452129364014,0.9221348762512207,0.9848832488059998,0.886074423789978,0.04618092253804207,0.0005,0.970934271812439,0.920940637588501,0.610630989074707,0.022843660786747932,0.981089174747467,0.9221543073654175,0.98485267162323,0.8874849677085876,0.9727925658226013,0.9589329957962036,0.7068790197372437,0.019200457260012627,0.9737216234207153,0.9655265808105469,0.9954937696456909,0.8244931101799011,0.034224849194288254,0.9768069386482239,0.965000331401825,0.7301267385482788,0.015024382621049881,0.981192946434021,0.9455227851867676,0.9922761917114258,0.8757513761520386
2,0.9735040664672852,0.9302536249160767,0.6448349952697754,0.019881684333086014,0.9828224182128906,0.9284537434577942,0.9862259030342102,0.8937378525733948,0.039078906178474426,0.0005,0.9740428924560547,0.9340818524360657,0.669353723526001,0.019197219982743263,0.9831693172454834,0.9301222562789917,0.9865034222602844,0.8957132697105408,0.9752311110496521,0.9620753526687622,0.7265225052833557,0.019589882344007492,0.975769579410553,0.9710710644721985,0.9961766600608826,0.8383994102478027,0.03708833083510399,0.9754285216331482,0.9630216956138611,0.7262794971466064,0.017498457804322243,0.9755878448486328,0.9741911292076111,0.9966052770614624,0.8370872139930725
3,0.9752042889595032,0.935110330581665,0.6894581317901611,0.018494801595807076,0.9839877486228943,0.9335798025131226,0.9869856238365173,0.9017844796180725,0.036345068365335464,0.0005,0.9752107262611389,0.9398514628410339,0.7035777568817139,0.01785026304423809,0.9840046167373657,0.9335496425628662,0.9869714379310608,0.9019164443016052,0.9765307307243347,0.9603775143623352,0.7240231037139893,0.016821658238768578,0.9903875589370728,0.8911864757537842,0.9824737310409546,0.937706470489502,0.03316594287753105,0.9760101437568665,0.96012943983078,0.7385562658309937,0.016344280913472176,0.9895464181900024,0.8919801712036133,0.9827195405960083,0.9321808815002441
4,0.9765183925628662,0.9378752112388611,0.7134234309196472,0.01699698716402054,0.9849187731742859,0.9388628005981445,0.987394392490387,0.9100912809371948,0.033565521240234375,0.0005,0.9764727354049683,0.9407281875610352,0.7273441553115845,0.016568543389439583,0.9849827289581299,0.9382720589637756,0.987240195274353,0.9106152057647705,0.9779403805732727,0.9672181606292725,0.7319651246070862,0.01669149473309517,0.9824740290641785,0.9459455609321594,0.9922642111778259,0.8843675255775452,0.03288144990801811,0.978125810623169,0.9670836925506592,0.734495222568512,0.0161899346858263,0.9839086532592773,0.9381994009017944,0.9909842610359192,0.8941243290901184
5,0.9782570004463196,0.9413166046142578,0.7339550256729126,0.015880610793828964,0.9860253930091858,0.9429622292518616,0.9884614944458008,0.9139662981033325,0.031132780015468597,0.0005,0.9785342216491699,0.9447199106216431,0.7431104183197021,0.015252156183123589,0.9863467812538147,0.9430819153785706,0.9884196519851685,0.9159635901451111,0.9678899049758911,0.9515051245689392,0.7161203622817993,0.024121861904859543,0.9670883417129517,0.9746516942977905,0.9969012141227722,0.7783698439598083,0.0425042025744915,0.973389744758606,0.9600258469581604,0.7386418581008911,0.018382372334599495,0.9744793772697449,0.9649344086647034,0.9953845739364624,0.8297049403190613
6,0.9787505269050598,0.9455592632293701,0.7331804037094116,0.015253983438014984,0.9864438772201538,0.942184567451477,0.9887621998786926,0.9131314158439636,0.029927602037787437,0.0005,0.978993833065033,0.9471467137336731,0.7405167818069458,0.014673642814159393,0.9867430925369263,0.9421968460083008,0.9887216091156006,0.9149733781814575,0.9743021726608276,0.9622458219528198,0.670066237449646,0.018094502389431,0.9766553044319153,0.9565860033035278,0.9941311478614807,0.8447674512863159,0.03751771152019501,0.9724200367927551,0.9602945446968079,0.7123592495918274,0.01942320354282856,0.9728236198425293,0.9692234396934509,0.9960227608680725,0.8182312846183777
7,0.9785948395729065,0.9481236934661865,0.7340920567512512,0.015170134603977203,0.986305832862854,0.9421423673629761,0.9887332916259766,0.9118784666061401,0.029914941638708115,0.0005,0.9786730408668518,0.9492211937904358,0.7468318939208984,0.014744820073246956,0.9864934086799622,0.9416604042053223,0.988605260848999,0.9131107926368713,0.9792675971984863,0.9682438373565674,0.7576337456703186,0.013871927745640278,0.9873597025871277,0.92583829164505,0.9887521862983704,0.9173084497451782,0.02744142897427082,0.9792846441268921,0.96793532371521,0.7640506625175476,0.013569504953920841,0.9882833361625671,0.9207046031951904,0.9878249764442444,0.9234941601753235
8,0.9796331524848938,0.9497005343437195,0.7352805733680725,0.014553896151483059,0.9871597290039062,0.9442172050476074,0.9891248345375061,0.9154630899429321,0.028730010613799095,0.0005,0.9796835780143738,0.9498080015182495,0.7498006224632263,0.014176120981574059,0.9873182773590088,0.9437327980995178,0.9890016317367554,0.9165285229682922,0.9792171716690063,0.9690952301025391,0.764743447303772,0.018787862733006477,0.9820886850357056,0.9585696458816528,0.9941675662994385,0.8815513849258423,0.03665756806731224,0.9795274138450623,0.9691986441612244,0.7708544135093689,0.01786968670785427,0.9832257032394409,0.9533622860908508,0.9933406710624695,0.8892914652824402
9,0.9804115295410156,0.949617862701416,0.7443890571594238,0.013808311894536018,0.9878445267677307,0.9461778402328491,0.9891987442970276,0.9222100973129272,0.027020489796996117,0.0005,0.98075270652771,0.9499045610427856,0.7640560269355774,0.01321218628436327,0.9880189299583435,0.9474812150001526,0.9894108772277832,0.9232802987098694,0.9809710383415222,0.9707494378089905,0.7680513262748718,0.012688367627561092,0.9831839203834534,0.9650851488113403,0.9950777888298035,0.8888166546821594,0.0245057400316,0.9822787642478943,0.9718696475028992,0.7888733148574829,0.011817369610071182,0.9859629273414612,0.9567114114761353,0.9937137961387634,0.9075793027877808
