epoch,categorical_accuracy,loss,lr,output_iou_0,output_iou_1,precision_0,precision_1,recall_0,recall_1,val_categorical_accuracy,val_loss,val_output_iou_0,val_output_iou_1,val_precision_0,val_precision_1,val_recall_0,val_recall_1
0,0.9366611838340759,0.080323725938797,0.0004996398,0.8794257640838623,0.39993777871131897,0.9749774932861328,0.7581131458282471,0.9501436948776245,0.8528895974159241,0.9743375778198242,0.02195632830262184,0.9608364701271057,0.6926601529121399,0.9810256958007812,0.9276132583618164,0.9895481467247009,0.8749697804450989
1,0.9702243804931641,0.022714829072356224,0.0005,0.9210308790206909,0.6261964440345764,0.9799745082855225,0.9225985407829285,0.9852689504623413,0.8797172904014587,0.9727517366409302,0.019584516063332558,0.9603328108787537,0.6542105674743652,0.9823792576789856,0.9079297184944153,0.9862709045410156,0.8844330310821533
2,0.9738531112670898,0.01921083778142929,0.0005,0.931866466999054,0.6827374696731567,0.9824422001838684,0.9333376288414001,0.986981987953186,0.8934262990951538,0.9768256545066833,0.01793772354722023,0.9656543731689453,0.7416614294052124,0.981406569480896,0.9442602396011353,0.9920734167098999,0.8772146105766296
3,0.9741343259811401,0.019082410261034966,0.0005,0.9376806616783142,0.6977297067642212,0.9826643466949463,0.9351572394371033,0.9869751334190369,0.8965259194374084,0.9764297008514404,0.01617373153567314,0.9647961258888245,0.7630934715270996,0.980814516544342,0.9450664520263672,0.9922303557395935,0.8732081055641174
4,0.9760808348655701,0.01705174893140793,0.0005,0.9439941644668579,0.709115743637085,0.9842157959938049,0.9378905892372131,0.9878005385398865,0.9029857516288757,0.9764795899391174,0.01604606583714485,0.9644799828529358,0.727788507938385,0.9847487807273865,0.9210093021392822,0.9881839752197266,0.900020956993103
5,0.9761075973510742,0.016819918528199196,0.0005,0.9448885917663574,0.7172269821166992,0.984114408493042,0.9386090636253357,0.9879326224327087,0.9021210670471191,0.9776726961135864,0.01502234023064375,0.9661064147949219,0.7640643119812012,0.9841654896736145,0.9332224130630493,0.9901865124702454,0.8959255218505859
6,0.9773004651069641,0.016082342714071274,0.0005,0.946609377861023,0.7245528101921082,0.9850143194198608,0.9403730630874634,0.9884704351425171,0.9062985777854919,0.97637540102005,0.015749702230095863,0.9633660912513733,0.715650200843811,0.9870749711990356,0.9072228074073792,0.9856655597686768,0.9156853556632996
7,0.9772411584854126,0.015998559072613716,0.0005,0.9451706409454346,0.7368280291557312,0.9850855469703674,0.9413308501243591,0.9882065653800964,0.9087616801261902,0.9765058755874634,0.016683265566825867,0.965026319026947,0.742977499961853,0.9823037385940552,0.9360257983207703,0.9907577037811279,0.8834009170532227
8,0.9780336618423462,0.01526694092899561,0.0005,0.9499924182891846,0.7356624007225037,0.9856663942337036,0.941163182258606,0.988763689994812,0.9076111912727356,0.97783362865448,0.01764226146042347,0.9670403599739075,0.7728699445724487,0.9819746613502502,0.9483951926231384,0.9926621913909912,0.8809642195701599
9,0.9782887101173401,0.015239383094012737,0.0005,0.9483152031898499,0.7406004071235657,0.9859010577201843,0.9437208771705627,0.9886008501052856,0.9130305051803589,0.9778202772140503,0.016556931659579277,0.9673315286636353,0.7650825381278992,0.9804257154464722,0.9588059186935425,0.9942761063575745,0.8703203797340393
10,0.9794637560844421,0.014111706055700779,0.0005,0.9498886466026306,0.7530347108840942,0.9867555499076843,0.9463675618171692,0.989139974117279,0.9170828461647034,0.9729211926460266,0.01976637728512287,0.9623310565948486,0.722841203212738,0.9799777269363403,0.923426628112793,0.9889820218086243,0.8679989576339722
11,0.9804339408874512,0.01355550717562437,0.0005,0.9537201523780823,0.755583643913269,0.9874171614646912,0.9464913010597229,0.9898677468299866,0.91521155834198,0.9784344434738159,0.014283375814557076,0.9679057002067566,0.7524561285972595,0.9836952686309814,0.9418812990188599,0.9915685653686523,0.8926335573196411
12,0.980177104473114,0.013562757521867752,0.0005,0.9508511424064636,0.7646505236625671,0.9873122572898865,0.9483699798583984,0.9893949031829834,0.9204143285751343,0.9792255759239197,0.015850631520152092,0.9678695201873779,0.761089563369751,0.9887217879295349,0.9178510904312134,0.9873074293136597,0.9264281392097473
13,0.9802377223968506,0.013718117028474808,0.0005,0.9510166645050049,0.7573300004005432,0.9874163269996643,0.9482271075248718,0.9893418550491333,0.9211694598197937,0.9740148186683655,0.019229896366596222,0.9609292149543762,0.7479565143585205,0.987339973449707,0.8899958729743958,0.9826369881629944,0.917689859867096
14,0.9805538058280945,0.01329846866428852,0.0005,0.9521369338035583,0.761300802230835,0.9876824617385864,0.9474598169326782,0.9895150065422058,0.9212296009063721,0.9805648922920227,0.012579264119267464,0.9700796604156494,0.7827770113945007,0.9853812456130981,0.9473527073860168,0.9923111796379089,0.9038284420967102
15,0.9816769957542419,0.01265973411500454,0.0005,0.9545788764953613,0.770648717880249,0.9884052872657776,0.9515265226364136,0.9901008009910583,0.9256665110588074,0.973379373550415,0.038124628365039825,0.9611655473709106,0.749940812587738,0.9774020314216614,0.9437629580497742,0.9922454953193665,0.8501324653625488
16,0.9816266298294067,0.012419227510690689,0.0005,0.9537131786346436,0.7704197764396667,0.9884049892425537,0.9512457251548767,0.9900030493736267,0.9259041547775269,0.9792435169219971,0.02064109593629837,0.9682227373123169,0.7641544342041016,0.988539457321167,0.9189873933792114,0.9875149726867676,0.9252094030380249
