epoch,categorical_accuracy,loss,lr,output_iou_0,output_iou_1,precision_0,precision_1,recall_0,recall_1,val_categorical_accuracy,val_loss,val_output_iou_0,val_output_iou_1,val_precision_0,val_precision_1,val_recall_0,val_recall_1
0,0.9310617446899414,0.0585138238966465,0.0004996398,0.8642147183418274,0.604316771030426,0.9738008975982666,0.7424601912498474,0.9440740942955017,0.8526926636695862,0.9689180254936218,0.02434777095913887,0.952179491519928,0.7177339196205139,0.9695197343826294,0.9640311598777771,0.9954562783241272,0.7955548167228699
1,0.9659649133682251,0.02619962953031063,0.0005,0.906581461429596,0.7157997488975525,0.975681483745575,0.9200200438499451,0.9843931198120117,0.8612828254699707,0.9701433181762695,0.02201736532151699,0.9559696912765503,0.7263882756233215,0.9715996980667114,0.9586200714111328,0.9946472644805908,0.8100680112838745
2,0.9669592976570129,0.02487506903707981,0.0005,0.9096172451972961,0.7080826759338379,0.9764443039894104,0.9204897284507751,0.9850777983665466,0.8595739006996155,0.9658538699150085,0.03143718093633652,0.9472290277481079,0.7227681279182434,0.9822022318840027,0.8621298670768738,0.9783554077148438,0.8841877579689026
3,0.9681375622749329,0.024147260934114456,0.0005,0.9170332551002502,0.7121116518974304,0.978056788444519,0.9181331396102905,0.9849036335945129,0.8661410808563232,0.9664446711540222,0.028042037039995193,0.9486135840415955,0.6969847083091736,0.9664250016212463,0.966609537601471,0.9959073662757874,0.7739737629890442
4,0.9702200889587402,0.022185789421200752,0.0005,0.9248411655426025,0.7206321358680725,0.9790350198745728,0.9277389645576477,0.9862379431724548,0.8746839761734009,0.9721510410308838,0.020912257954478264,0.9558538198471069,0.7537125945091248,0.9833036065101624,0.8985633850097656,0.984606921672821,0.8907830715179443
5,0.969200611114502,0.022892648354172707,0.0005,0.9225295782089233,0.7258298397064209,0.9779937863349915,0.9286524653434753,0.9859407544136047,0.8726378083229065,0.9689916968345642,0.022485164925456047,0.9542234539985657,0.7098960876464844,0.9701019525527954,0.9600625038146973,0.9949077367782593,0.7996906638145447
6,0.9673378467559814,0.024894049391150475,0.0005,0.9238473176956177,0.7064476609230042,0.9764814972877502,0.9222697615623474,0.9855558276176453,0.8589430451393127,0.9660571217536926,0.030931726098060608,0.9491708278656006,0.7097165584564209,0.9692985415458679,0.9404048919677734,0.9922910332679749,0.7946789264678955
7,0.9693658351898193,0.022181104868650436,0.0005,0.932121753692627,0.722698986530304,0.9783093929290771,0.9256595373153687,0.9860635995864868,0.868244469165802,0.9712663888931274,0.029557449743151665,0.9540276527404785,0.7476315498352051,0.9865520000457764,0.8760353922843933,0.9802294969558716,0.9127114415168762
8,0.9724367260932922,0.02020960859954357,0.0005,0.9333880543708801,0.7282136678695679,0.9803801774978638,0.9348873496055603,0.9874911308288574,0.8818176984786987,0.9723712205886841,0.023036697879433632,0.9585724472999573,0.7396474480628967,0.977470874786377,0.9352431893348694,0.9909824132919312,0.850789487361908
9,0.9710177779197693,0.021548083052039146,0.0005,0.931928277015686,0.731092095375061,0.979779064655304,0.9289445281028748,0.986375629901886,0.879258930683136,0.9653438329696655,0.02829311043024063,0.9495161175727844,0.6882568597793579,0.9658467173576355,0.9611214995384216,0.9952314496040344,0.7700990438461304
10,0.9716147780418396,0.020844420418143272,0.0005,0.9341639876365662,0.7255505323410034,0.9798389673233032,0.9327728152275085,0.9870943427085876,0.8787865042686462,0.9662542343139648,0.033846087753772736,0.950857937335968,0.6973360180854797,0.9661896228790283,0.9667991399765015,0.9959400296211243,0.7723259925842285
11,0.9715374112129211,0.021000605076551437,0.0005,0.9334618449211121,0.7300930619239807,0.9802980422973633,0.9298793077468872,0.9864909648895264,0.8819717764854431,0.9717856645584106,0.02177448570728302,0.9580293893814087,0.7335737347602844,0.9754127860069275,0.9445642232894897,0.9924843907356262,0.8365679383277893
12,0.9713679552078247,0.020436672493815422,0.0005,0.9342207908630371,0.727013111114502,0.9801799654960632,0.929091215133667,0.9864153861999512,0.880854606628418,0.9718508720397949,0.025606827810406685,0.9574896097183228,0.737579345703125,0.9803418517112732,0.9132552742958069,0.9873407483100891,0.8706621527671814
13,0.9730034470558167,0.019687607884407043,0.0005,0.9362112283706665,0.728913426399231,0.9812300205230713,0.9329227805137634,0.9873936772346497,0.884161114692688,0.9747219681739807,0.017549311742186546,0.9615366458892822,0.7429159879684448,0.9788095951080322,0.9449635148048401,0.9923357963562012,0.859656572341919
14,0.9727635979652405,0.020146973431110382,0.0005,0.9345801472663879,0.7308951020240784,0.9808633923530579,0.9352416396141052,0.9872981309890747,0.8870266675949097,0.9633982181549072,0.028676386922597885,0.9467756748199463,0.6907145380973816,0.96244877576828,0.9717680215835571,0.9966825842857361,0.7459633946418762
15,0.9747087955474854,0.017677634954452515,5.0000002e-05,0.94053715467453,0.7406736612319946,0.9821150898933411,0.9408623576164246,0.9884471893310547,0.8901531100273132,0.9715835452079773,0.021284816786646843,0.9582059979438782,0.7294429540634155,0.9734909534454346,0.9567907452583313,0.9943097233772278,0.8231205344200134
16,0.9753586053848267,0.01722513884305954,5.0000002e-05,0.9394925236701965,0.7398898005485535,0.9830451011657715,0.9406653046607971,0.9881006479263306,0.8985797762870789,0.971430778503418,0.02321893349289894,0.9577524662017822,0.725287914276123,0.9735515117645264,0.955026388168335,0.994063138961792,0.8235797882080078
17,0.97573322057724,0.016956495121121407,5.0000002e-05,0.9389525055885315,0.7435178756713867,0.9833563566207886,0.9406715035438538,0.9883007407188416,0.8991488218307495,0.972343385219574,0.021780075505375862,0.9589724540710449,0.7348392009735107,0.9760266542434692,0.9448478817939758,0.9924876689910889,0.8407478332519531
18,0.9757720232009888,0.016840271651744843,5.0000002e-05,0.9392800331115723,0.7444382309913635,0.9837256669998169,0.9388402104377747,0.9880165457725525,0.899770975112915,0.9677169919013977,0.026144392788410187,0.9532614350318909,0.7004956007003784,0.9669917225837708,0.9738309383392334,0.9968008399009705,0.7777196764945984
19,0.9758485555648804,0.016649805009365082,5.0000002e-05,0.9394296407699585,0.7473303079605103,0.9839110374450684,0.9380041360855103,0.9878776669502258,0.9010834693908691,0.9726245403289795,0.020248232409358025,0.9592516422271729,0.7328629493713379,0.9741232395172119,0.9610101580619812,0.9948616623878479,0.8273561596870422
20,0.9759165644645691,0.016760440543293953,5.0000002e-05,0.9417129158973694,0.7567602396011353,0.9839348793029785,0.9384526014328003,0.9879807233810425,0.9001808762550354,0.9709718823432922,0.021865949034690857,0.9570779204368591,0.7244382500648499,0.9714433550834656,0.9671928882598877,0.9958005547523499,0.8087705373764038
21,0.977042019367218,0.016055507585406303,5.0000002e-05,0.9435219764709473,0.7522209286689758,0.9846904277801514,0.9408242702484131,0.9885916113853455,0.9035184383392334,0.9714368581771851,0.021596597507596016,0.9575419425964355,0.7300601005554199,0.9723946452140808,0.9638679027557373,0.9953209161758423,0.8154104351997375
22,0.9764161705970764,0.01636272296309471,5.0000002e-05,0.9429794549942017,0.7524109482765198,0.9841249585151672,0.9405912160873413,0.9883791208267212,0.9015575051307678,0.9723412394523621,0.02089185267686844,0.9586837887763977,0.7350202798843384,0.973620593547821,0.9623661041259766,0.9950681924819946,0.8238753080368042
23,0.9759056568145752,0.016816189512610435,5.0000002e-05,0.9382107853889465,0.7521073222160339,0.9839571714401245,0.9399663805961609,0.9876993894577026,0.904700756072998,0.971610963344574,0.02185545489192009,0.9578531980514526,0.7313749194145203,0.9728677868843079,0.9617456197738647,0.995015025138855,0.8187183737754822
24,0.9765985608100891,0.01619139313697815,5.0000002e-05,0.9416531920433044,0.751868724822998,0.9841663837432861,0.940804123878479,0.9885963797569275,0.9002023339271545,0.9712950587272644,0.021927176043391228,0.9576326608657837,0.7314924597740173,0.9710831642150879,0.9730101823806763,0.9965770840644836,0.8061357736587524
25,0.9770216941833496,0.015974512323737144,5.0000003e-06,0.9428399801254272,0.7505899667739868,0.9841971397399902,0.9438552856445312,0.9890515208244324,0.9015645384788513,0.9720577001571655,0.02050456590950489,0.9584851264953613,0.7366194725036621,0.9723747968673706,0.9695298671722412,0.9960784912109375,0.815133273601532
26,0.9764170050621033,0.016112178564071655,5.0000003e-06,0.944929301738739,0.7552420496940613,0.9842219352722168,0.9389861822128296,0.9884128570556641,0.8988924622535706,0.9721602201461792,0.020199298858642578,0.9587127566337585,0.737572968006134,0.9728964567184448,0.966349720954895,0.9956353902816772,0.8188024759292603
27,0.9759976267814636,0.016446489840745926,5.0000003e-06,0.9410818219184875,0.7524877786636353,0.983859121799469,0.93904048204422,0.9881730675697327,0.9000079035758972,0.9719322323799133,0.020928991958498955,0.9582668542861938,0.7340809106826782,0.9720595479011536,0.9709120392799377,0.9962718486785889,0.81292724609375
28,0.977013111114502,0.015797419473528862,5.0000003e-06,0.9419228434562683,0.7583290338516235,0.9845978021621704,0.9432168006896973,0.9884307980537415,0.907288670539856,0.9726508259773254,0.019751057028770447,0.959481418132782,0.7387027740478516,0.9735305905342102,0.9657575488090515,0.995532214641571,0.8231751322746277
29,0.9772048592567444,0.01561699528247118,5.0000003e-06,0.9409579038619995,0.7609883546829224,0.9848842024803162,0.942584216594696,0.9883860945701599,0.908515453338623,0.9722661972045898,0.02086617797613144,0.9588646292686462,0.7355717420578003,0.9725831747055054,0.9697484970092773,0.996100664138794,0.8165635466575623
30,0.9764648675918579,0.016095511615276337,5.0000003e-06,0.9423898458480835,0.7568075060844421,0.98430997133255,0.9398108124732971,0.9882208108901978,0.902664303779602,0.9727621674537659,0.020332179963588715,0.9595896601676941,0.7381842136383057,0.9734522700309753,0.9673386812210083,0.9957484006881714,0.8225992918014526
31,0.9764001369476318,0.01618235372006893,5.0000003e-06,0.9414530396461487,0.7617677450180054,0.9842367172241211,0.9410938620567322,0.9880949854850769,0.9051821231842041,0.9727736711502075,0.020847810432314873,0.9595770239830017,0.736261248588562,0.9733981490135193,0.967860758304596,0.9958205819129944,0.8222149014472961
32,0.9767242670059204,0.016063546761870384,5.0000003e-06,0.9432870149612427,0.7520247101783752,0.98447185754776,0.9407646059989929,0.9884212017059326,0.9023710489273071,0.972251296043396,0.020533733069896698,0.9588553309440613,0.7357679009437561,0.9726735353469849,0.9689042568206787,0.995985209941864,0.8172062039375305
33,0.9768770933151245,0.01612674444913864,5.0000003e-06,0.9425244927406311,0.7574704885482788,0.9846795797348022,0.9418798089027405,0.9881934523582458,0.9075578451156616,0.9726033806800842,0.02025224082171917,0.9593991637229919,0.7376990914344788,0.9733160734176636,0.9669966697692871,0.9957072138786316,0.821671724319458
34,0.9773164391517639,0.01556954625993967,5.0000003e-06,0.9444700479507446,0.756558358669281,0.9846441745758057,0.9431446194648743,0.9889248609542847,0.9042218923568726,0.9725692272186279,0.020820066332817078,0.9592186212539673,0.736337423324585,0.9729729294776917,0.9693731665611267,0.9960377812385559,0.8192545175552368
35,0.9769240617752075,0.01569012552499771,5.0000006e-07,0.9442388415336609,0.750995934009552,0.9850934743881226,0.9370196461677551,0.9880954027175903,0.9040588140487671,0.9727978110313416,0.01995319314301014,0.9596167206764221,0.7384679317474365,0.973587155342102,0.9666072130203247,0.9956449270248413,0.8235436677932739
