epoch,categorical_accuracy,loss,lr,output_iou_0,output_iou_1,precision_0,precision_1,recall_0,recall_1,val_categorical_accuracy,val_loss,val_output_iou_0,val_output_iou_1,val_precision_0,val_precision_1,val_recall_0,val_recall_1
0,0.9558217525482178,0.0677197128534317,0.0004996398,0.8954799175262451,0.42774447798728943,0.97249436378479,0.873043954372406,0.9753931164741516,0.8445296287536621,0.9764567613601685,0.017513791099190712,0.9628013372421265,0.7028007507324219,0.9810411334037781,0.9437821507453918,0.9920237064361572,0.874761164188385
1,0.9729313254356384,0.020439591258764267,0.0005,0.9195471405982971,0.6585095524787903,0.9823779463768005,0.9290568828582764,0.9857787489891052,0.8963057398796082,0.9732223749160767,0.020807970315217972,0.9602500796318054,0.7327852845191956,0.9728584885597229,0.9761269688606262,0.9969364404678345,0.8183045387268066
2,0.9748359322547913,0.0185608621686697,0.0005,0.9314200282096863,0.6982318758964539,0.9837008118629456,0.9311578869819641,0.986943781375885,0.8980231285095215,0.979465901851654,0.015009691007435322,0.9680002331733704,0.755550742149353,0.9847332239151001,0.9431328177452087,0.9916971325874329,0.8995616436004639
3,0.976564347743988,0.0168449766933918,0.0005,0.9408091902732849,0.7218725085258484,0.9846621155738831,0.9393646121025085,0.9877969026565552,0.9077168703079224,0.9795971512794495,0.013647661544382572,0.9661001563072205,0.7500180006027222,0.9886561036109924,0.9207978248596191,0.987808108329773,0.9259572625160217
4,0.9757888913154602,0.017368000000715256,0.0005,0.9419479370117188,0.7232057452201843,0.9839905500411987,0.9381690621376038,0.987571656703949,0.9039223194122314,0.9770032167434692,0.015412157401442528,0.9658917784690857,0.7457935214042664,0.977988600730896,0.9695554375648499,0.9958971738815308,0.8535735011100769
5,0.97760009765625,0.015579194761812687,0.0005,0.9450176358222961,0.7435415387153625,0.9856438040733337,0.9407110214233398,0.988031804561615,0.911594808101654,0.9799895286560059,0.013882433995604515,0.9696670770645142,0.7720584869384766,0.9828313589096069,0.9596577286720276,0.9942951202392578,0.8865340948104858
6,0.9788825511932373,0.014717347919940948,0.0005,0.9469813704490662,0.7531379461288452,0.9865583777427673,0.9437946677207947,0.9886456727981567,0.9160429835319519,0.9804547429084778,0.012648490257561207,0.9698267579078674,0.75489342212677,0.9881124496459961,0.9299450516700745,0.9893651008605957,0.9222437739372253
7,0.9786484241485596,0.014902797527611256,0.0005,0.9489981532096863,0.7528589963912964,0.9864253997802734,0.9427401423454285,0.9885228276252747,0.9154585599899292,0.9786016345024109,0.0167692881077528,0.9689392447471619,0.7580624222755432,0.9791278839111328,0.974642276763916,0.9965700507164001,0.8612195253372192
8,0.9800764918327332,0.013961364515125751,0.0005,0.950667679309845,0.7592853307723999,0.9874351620674133,0.9466220140457153,0.9891675114631653,0.9210991263389587,0.9802669882774353,0.013040167279541492,0.9663079380989075,0.7739565372467041,0.9942688345909119,0.8961204290390015,0.982912003993988,0.9629877209663391
9,0.9803202748298645,0.01354212872684002,0.0005,0.9503195881843567,0.7606729865074158,0.9876707792282104,0.9460504651069641,0.9892836809158325,0.9207341074943542,0.9796993732452393,0.014577477239072323,0.9694658517837524,0.7706195116043091,0.9845453500747681,0.9460996985435486,0.9921663999557495,0.8982577919960022
10,0.9805027842521667,0.013299698941409588,0.0005,0.9486590623855591,0.7707778215408325,0.9877418279647827,0.9493969678878784,0.98912113904953,0.9264577627182007,0.9819411039352417,0.012952699325978756,0.9709641933441162,0.7949522733688354,0.987099826335907,0.9468987584114075,0.9921427369117737,0.9152964949607849
11,0.981840193271637,0.012411666102707386,0.0005,0.9515671133995056,0.7778518795967102,0.9886660575866699,0.9519887566566467,0.989907443523407,0.9290594458580017,0.9785791039466858,0.015457487665116787,0.9680111408233643,0.7715157866477966,0.9852442741394043,0.9333583116531372,0.9901291131973267,0.9031274318695068
12,0.9804720878601074,0.013283377513289452,0.0005,0.949764609336853,0.7730444669723511,0.9877116084098816,0.9476318359375,0.9893599152565002,0.9213842749595642,0.9818284511566162,0.012157171033322811,0.971675455570221,0.8025232553482056,0.9874432682991028,0.9439375400543213,0.9916574358940125,0.9176208972930908
13,0.9827706217765808,0.011625888757407665,0.0005,0.9536089897155762,0.7879927754402161,0.9893685579299927,0.9541617035865784,0.9902756214141846,0.9331333041191101,0.9774041771888733,0.0186625923961401,0.9672356247901917,0.751885175704956,0.9768899083137512,0.9813845157623291,0.99754399061203,0.8458370566368103
14,0.9831628799438477,0.011410620994865894,0.0005,0.9538306593894958,0.7832621335983276,0.9895488023757935,0.9556524157524109,0.9905943870544434,0.9333863258361816,0.9774060249328613,0.020489415153861046,0.9661172032356262,0.766922652721405,0.978141725063324,0.9718377590179443,0.9962092041969299,0.8545688390731812
